country,year,item,gdp
Monaco,2013,Gross Domestic Product (GDP),173377
Liechtenstein,2013,Gross Domestic Product (GDP),152933
Luxembourg,2013,Gross Domestic Product (GDP),113373
Norway,2013,Gross Domestic Product (GDP),103585
Qatar,2013,Gross Domestic Product (GDP),93352
China: Macao SAR,2013,Gross Domestic Product (GDP),91376
Bermuda,2013,Gross Domestic Product (GDP),85301
Switzerland,2013,Gross Domestic Product (GDP),84853
Australia,2013,Gross Domestic Product (GDP),65600
Sweden,2013,Gross Domestic Product (GDP),60565
Denmark,2013,Gross Domestic Product (GDP),59920
Cayman Islands,2013,Gross Domestic Product (GDP),59447
San Marino,2013,Gross Domestic Product (GDP),57292
Singapore,2013,Gross Domestic Product (GDP),54648
United States,2013,Gross Domestic Product (GDP),52391
Canada,2013,Gross Domestic Product (GDP),52270
Kuwait,2013,Gross Domestic Product (GDP),52197
Netherlands,2013,Gross Domestic Product (GDP),50929
Austria,2013,Gross Domestic Product (GDP),50419